"date","close","volume","open","high","low"
"16:00","47.55","392,834","46.97","47.92","45.715"
"2019/05/16","47.5500","392834.0000","47.0500","47.9200","45.7150"
"2019/05/15","46.4200","135097.0000","45.3500","46.8400","44.5000"
"2019/05/14","45.3900","440630.0000","46.2300","46.3300","45.2700"
"2019/05/13","45.6300","330983.0000","46.7900","47.2700","45.2400"
"2019/05/10","48.5000","173423.0000","47.8000","49.2200","46.9300"
"2019/05/09","47.9800","451840.0000","48.3200","48.3500","46.0100"
"2019/05/08","49.2000","187119.0000","49.6900","50.2100","48.5100"
"2019/05/07","49.8700","335185.0000","50.6400","51.6200","49.4100"
"2019/05/06","51.3300","244863.0000","51.2500","51.9800","49.9600"
"2019/05/03","53.2200","243621.0000","53.1200","53.7800","52.5500"
"2019/05/02","52.6200","380963.0000","54.0500","54.0500","51.2500"
"2019/05/01","53.9600","137368.0000","54.8000","54.9550","53.9600"
"2019/04/30","54.3400","287096.0000","55.7600","56.5900","54.3400"
"2019/04/29","55.7300","344622.0000","54.8300","56.2400","54.0400"
"2019/04/26","54.4300","423138.0000","56.8800","57.3800","52.9400"
"2019/04/25","56.8200","437331.0000","55.7700","57.6300","54.5100"
"2019/04/24","56.2000","410635.0000","56.0000","56.3200","54.4200"
"2019/04/23","56.1300","424487.0000","55.1500","56.3200","54.5600"
"2019/04/22","55.1500","95187.0000","54.0500","55.2000","53.3550"
"2019/04/18","53.9000","108829.0000","54.3300","54.3600","53.3800"
"2019/04/17","53.7700","155409.0000","53.7000","54.1700","52.5200"
"2019/04/16","54.1700","253730.0000","51.1700","55.2600","50.9600"
"2019/04/15","50.5000","252997.0000","50.1700","50.7900","49.2754"
"2019/04/12","50.3000","654474.0000","49.9300","52.0900","49.7200"
"2019/04/11","49.2700","175318.0000","49.3500","49.6500","48.0600"
"2019/04/10","49.8400","343791.0000","49.9100","50.0200","48.3025"
"2019/04/09","50.0000","126574.0000","50.2100","50.2800","48.8500"
"2019/04/08","50.4200","145897.0000","51.1100","51.1100","49.6300"
"2019/04/05","51.5100","106846.0000","51.9300","52.0000","50.7050"
"2019/04/04","51.8900","138041.0000","50.5600","52.0700","50.5000"
"2019/04/03","50.9700","206661.0000","50.7100","51.8000","50.4500"
"2019/04/02","50.2000","414987.0000","52.0000","52.1500","49.7800"
"2019/04/01","52.3700","416297.0000","49.1400","52.5500","49.0400"
"2019/03/29","48.4600","748108.0000","46.2100","50.7400","46.2100"
"2019/03/28","46.0300","146006.0000","45.4000","46.1700","44.9850"
"2019/03/27","45.4600","139921.0000","45.4400","46.2450","44.7500"
"2019/03/26","45.4000","276971.0000","45.9400","47.3600","45.0300"
"2019/03/25","45.7900","172488.0000","44.8900","46.0000","44.7507"
"2019/03/22","44.9600","213476.0000","45.4800","46.0374","44.6000"
"2019/03/21","45.8600","187705.0000","45.6600","46.4900","45.2000"
"2019/03/20","45.5200","488316.0000","46.8900","47.2500","44.7200"
"2019/03/19","47.2500","482709.0000","47.0900","47.3200","46.4000"
"2019/03/18","46.8900","255208.0000","46.5300","47.3600","46.0000"
"2019/03/15","46.3900","430893.0000","45.9100","46.9100","45.6900"
"2019/03/14","45.7900","433168.0000","46.8300","48.2400","45.5250"
"2019/03/13","47.4800","732959.0000","50.1600","50.3000","45.0050"
"2019/03/12","53.6700","157174.0000","53.9500","54.3300","52.8900"
"2019/03/11","53.3100","178656.0000","54.1400","54.4100","52.3500"
"2019/03/08","53.6700","192955.0000","53.4300","53.8400","51.1600"
"2019/03/07","54.4600","457915.0000","56.9300","57.0000","53.1542"
"2019/03/06","57.2400","246237.0000","59.7500","60.1400","56.6700"
"2019/03/05","59.7500","261442.0000","58.3100","60.0600","57.7018"
"2019/03/04","58.3700","691039.0000","59.5000","59.8300","57.7250"
"2019/03/01","59.1200","313264.0000","58.3100","59.4000","58.1325"
"2019/02/28","57.7500","215282.0000","56.6900","57.8700","56.4100"
"2019/02/27","56.8300","297488.0000","54.2600","57.1177","54.1150"
"2019/02/26","54.5700","373477.0000","56.5300","56.8650","52.8000"
"2019/02/25","56.9600","847439.0000","57.5600","59.8100","56.9300"
"2019/02/22","54.9500","835988.0000","50.4800","55.8600","50.1700"
"2019/02/21","49.5100","515822.0000","52.3700","52.3800","49.3200"
"2019/02/20","52.5400","221674.0000","52.1400","54.2600","51.5400"
"2019/02/19","52.2300","321511.0000","49.7600","52.3000","49.6300"
"2019/02/15","49.6400","98291.0000","50.0000","50.0000","49.1500"
"2019/02/14","50.1500","92743.0000","49.0900","50.2975","48.4411"
"2019/02/13","49.2100","160901.0000","49.1300","49.3600","48.4364"
"2019/02/12","48.5400","252188.0000","48.6900","49.4000","48.1400"
"2019/02/11","48.5900","191880.0000","47.8600","49.2000","47.3050"
"2019/02/08","47.5100","112484.0000","46.3800","47.5400","45.9119"
"2019/02/07","46.6700","76951.0000","47.4900","47.4900","46.0900"
"2019/02/06","47.7100","112693.0000","47.9100","48.0000","46.6900"
